"Fighter","Opponent","Date","Country","WT_Class","Height","Weight","Birthdate","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Event","Res","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","X.Total_Strikes","KD","X.BODY","X.HEAD","X.LEG","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","X.TK_ACC","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Time_Seconds","Total_Fight_Time_Seconds","Decision_Unanimous","KO_TKO","Submission","Decision_Split","No_Contest","Draw","Decision_Majority","TKO_Doctors_Stoppage","Africa","Asia","Europe","North_America","South_America","Oceania","X.Significant_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","Results","Continent"
"Daniel Pineda","Pat Schilling",2021-10-12,"USA","Featherweight",67,146,1996-08-03,"4oz Fight Club","The Pit","Orthodox",69,"Submission",1,"1:37","UFC on FX: Guillard vs. Miller","W",1,1,5,9,2,2,38,44,19,24,86,0,100,76,100,0,0,1,2,0,0,1,0,1,1,0,100,0,0,5,9,2,2,1,0,1,0,1,1,0,1,0,97,97,0,0,1,0,0,0,0,0,0,0,0,1,0,0,79,0,50,0,0,55,100,1,"North America"
"Daniel Pineda","Mackens Semerzier",2017-10-13,"USA","Featherweight",67,146,1993-03-24,"4oz Fight Club","The Pit","Orthodox",69,"Submission",1,"2:05","UFC on FX: Alves vs. Kampmann","W",0,0,9,15,1,1,15,22,14,21,68,1,100,61,100,2,2,1,2,0,0,0,0,0,0,0,0,1,1,9,10,0,0,0,0,0,0,1,2,0,1,0,125,125,0,0,1,0,0,0,0,0,0,0,0,1,0,0,66,100,50,0,100,90,0,1,"North America"
"Michael Chiesa","Beneil Dariush",2023-09-16,"USA","Welterweight",73,170,1993-09-06,"Sikjitsu","Maverick","Southpaw",75,"Decision - Unanimous",2,"4:16","UFC on FOX: Teixeira vs. Evans","W",0,1,6,43,3,3,12,53,11,52,22,0,25,16,100,1,3,1,2,0,0,0,50,1,2,0,50,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,256,556,1,0,0,0,0,0,0,0,0,0,0,1,0,0,21,33,50,0,0,0,0,1,"North America"
"Bobby Green","Josh Thomson",2023-09-16,"USA","Lightweight",70,154,1986-10-02,"Icon MMA","King","Orthodox",71,"Decision - Split",3,"5:00","UFC on Fox: Lawler vs. Brown","W",22,35,16,75,18,25,63,145,59,141,43,0,62,23,72,1,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,1,0,0,41,50,50,0,0,0,0,1,"North America"
"Gilbert Burns","Andreas Stahl",2023-09-16,"Brazil","Welterweight",70,171,1991-04-20,"Kill Cliff FC","Durinho","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC on Fox: Lawler vs. Brown","W",6,13,21,102,3,3,56,153,44,140,36,0,65,24,67,9,10,6,12,0,0,0,0,2,10,0,20,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31,90,50,0,0,0,0,1,"South America"
"Brian Ortega","Mike de la Torre",2023-09-16,"USA","Featherweight",68,145,1993-08-09,"Gracie Jiu-Jitsu","T-City","Orthodox",69,"No Contest",1,"1:39","UFC on Fox: Lawler vs. Brown","D",1,1,1,4,0,0,5,8,3,6,62,0,100,25,0,1,1,0,0,0,0,0,0,1,3,0,33,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,99,99,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,100,0,0,0,0,0,0,"North America"
"Jessica Andrade","Liz Carmouche",2023-09-16,"Brazil","Strawweight",61,115,1988-03-07,"PRVT","Bate Estaca","Orthodox",62,"KO/TKO",2,"3:57","UFC on Fox: Johnson vs. Moraga","L",1,1,2,6,1,1,14,20,10,15,70,0,100,38,100,3,3,0,0,2,2,0,1,1,1,1,100,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,237,537,0,1,0,0,0,0,0,0,0,0,0,0,1,0,66,100,0,100,0,50,0,0,"South America"
"Bobby Green","Pat Healy",2023-09-16,"USA","Lightweight",70,154,1999-07-07,"Icon MMA","King","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC on Fox: Johnson vs. Benavidez 2","W",5,11,60,111,3,4,93,152,80,138,61,0,57,57,80,3,3,6,6,1,1,0,0,3,6,0,50,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,57,100,100,100,100,100,0,1,"North America"
"Leon Edwards","Kamaru Usman",2012-08-17,"England","Welterweight",74,170,1986-09-09,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00","UFC on Fox: Dos Anjos vs. Cerrone 2","L",2,3,14,43,1,1,36,67,26,57,53,0,86,36,100,4,4,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,45,100,50,100,0,100,0,0,"Europe"
"Valentina Shevchenko","Sarah Kaufman",2013-04-13,"Kyrgyzstan","Women's Flyweight",65,125,1985-08-06,"Tiger Muay Thai","Bullet","Southpaw",66,"Decision - Split",3,"5:00","UFC on Fox: Dos Anjos vs. Cerrone 2","W",3,6,9,15,0,1,66,78,32,44,84,0,73,72,75,5,5,8,9,3,3,0,0,4,9,0,44,0,0,4,5,0,0,1,0,1,0,0,0,1,0,0,300,900,0,0,0,1,0,0,0,0,0,1,0,0,0,0,72,100,88,100,0,80,0,1,"Asia"
