"Fighter","Opponent","Date","Country","WT_Class","Weight","Birthdate","Height","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Time_Seconds","Total_Fight_Time_Seconds","Event","Res","Results","Decision_Unanimous","KO_TKO","Submission","Decision_Split","Draw","No_Contest","Decision_Majority","TKO_Doctors_Stoppage","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Continent","Africa","Asia","Europe","South_America","North_America","Oceania","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","KD","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.LEG","X.BODY","X.HEAD","X.Total_Strikes","X.TK_ACC","X.Significant_Strikes"
"Leon Edwards","Belal Muhammad",2024-07-27,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",5,"5:00",300,1500,"UFC 304: Edwards vs. Muhammad 2","L",0,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,7,9,25,46,3,3,89,114,47,71,0,5,6,1,1,0,0,2,0,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100,0,83,100,0,100,80,60,78,100,66.1971830985916
"Leon Edwards","Colby Covington",2023-12-16,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",5,"5:00",300,1500,"UFC 296: Edwards vs. Covington","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,14,21,20,61,22,25,65,116,57,108,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,100,0,0,0,0,88,67,34,56,67,52.7777777777778
"Leon Edwards","Kamaru Usman",2023-03-18,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Majority",5,"5:00",300,1500,"UFC 286: Edwards vs. Usman 3","W",1,0,0,0,0,0,0,1,0,1,0,0,"Europe",0,0,1,0,0,0,29,32,32,65,50,53,123,164,120,161,0,7,7,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,94,92,49,75,0,74.5341614906832
"Leon Edwards","Kamaru Usman",2022-08-20,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"KO/TKO",5,"4:04",244,1444,"UFC 278: Usman vs. Edwards 2","W",1,0,1,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,17,19,12,30,13,13,64,85,55,75,1,5,5,2,2,0,0,0,0,1,5,0,0,0,6,6,0,0,0,0,0,0,0,1,0,100,0,100,100,0,100,92,53,75,20,73.3333333333333
"Leon Edwards","Nate Diaz",2021-06-12,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",5,"5:00",300,1500,"UFC 263: Adesanya vs. Vettori 2","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,6,12,39,83,23,23,83,139,77,132,0,0,0,4,6,0,0,0,0,4,5,0,0,0,5,8,0,0,0,0,0,0,0,0,0,62,0,0,66,0,100,50,50,59,80,58.3333333333333
"Leon Edwards","Belal Muhammad",2021-03-13,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"No Contest",2,"0:18",18,318,"UFC Fight Night: Edwards vs. Muhammad","D",0,0,0,0,0,0,1,0,0,1,0,0,"Europe",0,0,1,0,0,0,5,6,10,28,4,4,20,40,19,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,83,34,50,0,48.7179487179487
"Leon Edwards","Rafael Dos Anjos",2019-07-20,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",5,"5:00",300,1500,"UFC Fight Night: Dos Anjos vs. Edwards","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,7,13,64,176,6,6,113,244,92,215,0,6,6,6,8,0,0,0,0,3,10,0,1,1,2,5,0,0,2,0,2,0,0,0,100,40,0,100,75,0,100,70,38,46,30,42.7906976744186
"Leon Edwards","Gunnar Nelson",2019-03-16,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Split",3,"5:00",300,900,"UFC Fight Night: Till vs. Masvidal","W",1,0,0,0,1,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,2,6,2,9,0,1,47,69,31,49,1,10,10,5,8,1,1,0,0,2,3,1,1,1,10,13,0,0,1,1,0,0,0,0,100,76,0,100,62,100,50,76,57,68,67,63.265306122449
"Leon Edwards","Donald Cerrone",2018-06-23,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",5,"5:00",300,1500,"UFC Fight Night: Cowboy vs. Edwards","W",1,1,0,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,12,20,22,86,28,34,101,185,84,166,0,7,7,15,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,78,0,82,70,35,54,0,50.6024096385542
"Leon Edwards","Peter Sobotta",2018-03-17,"England","Welterweight",170,1991-08-25,74,"Renegade MMA","Rocky","Southpaw",74,"KO/TKO",3,"4:59",299,899,"UFC Fight Night: Werdum vs. Volkov","W",1,0,1,0,0,0,0,0,0,1,0,0,"Europe",0,0,1,0,0,0,4,5,12,43,0,2,71,117,42,86,1,1,1,0,0,0,0,1,0,1,2,0,0,0,25,35,0,0,4,1,3,0,0,0,0,71,0,100,0,0,0,83,47,60,50,48.8372093023256
